İl,Yıl,Ay,Nem
,2013,3,74.2
,2013,4,81.4
,2013,5,81.1
,2013,6,81.0
,2013,7,78.3
,2013,8,80.4
,2013,9,75.6
,2013,10,85.7
,2013,11,83.9
,2013,12,80.0
,2014,1,84.0
,2014,2,82.2
,2014,3,83.5
,2014,4,87.7
,2014,5,86.7
,2014,6,87.6
,2014,7,89.5
,2014,8,89.6
,2014,9,89.8
,2014,10,91.1
,2014,11,92.9
,2014,12,90.6
,2015,1,86.7
,2015,2,88.5
,2015,3,93.9
,2015,4,86.8
,2015,5,93.8
,2015,6,95.8
,2015,7,93.3
,2015,8,85.6
,2015,9,88.2
,2015,10,92.9
,2015,11,83.6
,2015,12,87.3
,2016,1,82.5
,2016,2,84.1
,2016,3,87.9
,2016,4,87.2
,2016,5,92.0
,2016,6,91.7
,2016,7,82.8
,2016,8,81.6
,2016,9,77.5
,2016,10,82.7
,2016,11,77.9
,2016,12,80.7
,2017,1,79.1
,2017,2,74.1
,2017,3,87.5
,2017,4,83.7
,2017,5,84.8
,2017,6,82.8
,2017,7,80.4
,2017,8,82.6
,2017,9,79.5
,2017,10,82.1
,2017,11,82.7
,2017,12,74.0
,2018,1,82.8
,2018,2,89.1
,2018,3,84.5
,2018,4,89.6
,2018,5,93.0
,2018,6,89.1
,2018,7,86.9
,2018,8,88.4
,2018,9,90.4
,2018,10,95.4
,2018,11,96.6
,2018,12,96.4
,2019,1,87.5
,2019,2,94.8
,2019,3,88.2
,2019,4,96.9
,2019,5,85.8
,2019,6,87.6
,2019,7,85.1
,2019,8,87.4
,2019,9,84.9
,2019,10,89.6
,2019,11,85.3
,2019,12,84.1
,2020,1,85.8
,2020,2,80.6
,2020,3,86.1
,2020,4,85.5
,2020,5,86.4
,2020,6,86.2
,2020,7,86.7
,2020,8,84.4
,2020,9,85.5
,2020,10,81.5
,2020,11,88.8
,2020,12,83.5
,2021,1,74.9
,2021,2,64.2
,2021,3,70.9
,2021,4,74.9
,2021,5,71.5
,2021,6,75.2
,2021,7,75.5
,2021,8,73.8
,2021,9,74.0
,2021,10,76.7
,2021,11,75.1
,2021,12,66.8
